Woodcuts,54
Anatomical fugitive sheets,24
Wood engravings,137
Posters,442
Photomechanical prints,90
Caricatures,106
Aquatints,49
Gouaches,152
Intaglio prints,121
Lithographs,293
Portrait prints,628
Biographies,4
Oil paintings,96
Collotypes,78
Ephemera,1406
Engravings,534
Etchings,488
Book,60
Drawings,30
Albumen prints,43
Book illustrations,145
Portrait photographs,228
Humorous pictures,45
Almanacs,3
Engraving,2
Photographs,24
Pencil works,32
Photographic prints,284
Wash drawings,8
Leaflets,81
Genre photographs,19
Allegorical prints,29
Watercolors,183
Manuscript,43
Chromolithographs,57
Allegorical drawings,31
Art brut,62
Stipple engravings,36
Gelatin silver prints,69
Illustrated works,13
Periodical illustrations,44
Portrait paintings,45
Soft-ground etchings,1
Certificates,3
Periodicals,60
Photographic postcards,69
Wet collodion negatives,54
Incunabula,19
Woodcuts - Japan,23
Museum object,77
Mezzotints,36
Archives,34
Holograph letter,1
Travel sketches,12
Letter,24
Photogravures,14
Blotting paper,24
Landscape photographs,18
Steel engravings,8
Vanitas (Art),2
Sketches,6
Postcards,19
Still lifes,4
Memento mori,10
Photoengravings,1
Cityscape photographs,18
Ink drawings,52
Academic dissertations - Scotland - Edinburgh,1
Travel literature,5
Bird's-eye views,5
Glass negatives,1
Platinum prints,2
Portrait drawings,22
Trial proceedings,1
Title pages,14
Pamphlets,9
Halftone photomechanical prints,5
Letter pictures,1
Membership lists,1
Votive offerings,8
Icons,2
Photograph albums,16
Waterscape photographs,18
Oil sketches,2
Waterscape prints,9
Periodical,11
Sandals,2
Screen prints,1
Manufacturers' catalogues,7
Museum catalogues,1
Broadsheet,1
"Icons, Russian",3
Cityscape prints,10
Bibliographies,1
Ironwork,2
Panoramic views,18
Tankas (Tibetan scrolls),6
Magazine covers,1
Clippings,4
Group portraits,13
"Painting, Kalighat",12
Landscape prints,17
Collected works,6
Papier-mâché,1
Floor plans,5
Pamphlet,2
Manuscripts,13
Statistics,1
Cartoons (Working drawings),2
Labels,14
Chalk drawings,9
Memoirs,5
Tempera paintings,4
Cartes de visite,7
Advertisements,12
Allegorical paintings,1
Singerie (Art),4
Academic dissertations,4
Erotica,4
Closet doors,1
Distemper painting,3
Electronic journals,2
Exhibition posters,2
Graphite drawings,7
Menus,4
Figure drawings,2
Broadsides,3
Line photoengravings,7
Letterpress works,1
Photolithographs,4
Metal sculpture,1
Goigs,2
Postcard,4
Atlases (Scientific),4
Portrait sculpture,1
Ivory carving,1
Exploration literature,2
Poems,1
Bird's-eye view prints,6
Print,7
Landscape drawings,2
Prints,2
Calendars,2
Painting,3
Collected correspondence,1
Editorial cartoons,1
Collages,2
Crayon manner prints,6
Self-portraits,3
Programs,2
Festschriften,1
Catalogue,1
Charts,2
Trade cards,2
Postal stationery,1
Bronze sculpture,1
Albums,4
Relief prints,1
Badges,1
Case studies,3
Inscriptions,1
Photocopies,2
Charcoal drawings,1
Frontispieces,1
Trade catalogues,1
Manuscripts - Chinese,1
Window cards,1
Song sheet,1
Herbals,1
Boxes,1
Wood sculpture,1
Lectures,2
Stereographs,4
Scrapbooks,3
Satires (Visual works),1
Narratives,1
Conference proceedings,1
Pastels (Visual works),1
Anatomical atlases,1
Pharmacopoeias,1
Bookplates,1
Still life photographs,1
Annual reports,1
Crayon drawings,2
Portraits,1
Advertising cards,1
Design drawings,1
Acrylic paintings,1
Maps,4
Diagrams,2
Pictorial envelopes,1
Forms (Documents),1
Paintings,2
Indexes,1
Daguerreotypes,1
Trade card,1
Illustrations,1
Proclamations,1
Letters,1
Catalogues,1
Unfinished works of art,2
Cut-paper works,1
Stationery,1
Album,1
Armorial bindings,1
Letterheads,1
Rubbings,1
Patents,1
Cityscape drawings,1
Teaching Materials,1
"Icons, Greek",1
