V0037091,"(3886, 1804)"
V0037092,"(2716, 2576)"
V0037093,"(2417, 2961)"
V0037094,"(2372, 2946)"
V0037095,"(3035, 2314)"
V0037096,"(2445, 2878)"
V0037097,"(3020, 2428)"
V0037098,"(3543, 2016)"
V0037099,"(3790, 1841)"
V0037100,"(3449, 2035)"
V0037101,"(2681, 3379)"
V0037102,"(2429, 3057)"
V0037103,"(2397, 2951)"
V0037104,"(2652, 3419)"
V0037105,"(2337, 2999)"
V0037106,"(2350, 3002)"
V0037107,"(2363, 2962)"
V0037108,"(2350, 3018)"
V0037109,"(2327, 3005)"
V0037110,"(3801, 1843)"
V0037111,"(3813, 1835)"
V0037112,"(3980, 1761)"
V0037113,"(3814, 1838)"
V0037114,"(3803, 1838)"
V0037115,"(2396, 2949)"
V0037116,"(2421, 2957)"
V0037117,"(2315, 3015)"
V0037118,"(3071, 2324)"
V0037119,"(2310, 3037)"
V0037120,"(2279, 3073)"
V0037121,"(2338, 3011)"
V0037122,"(3434, 2127)"
V0037123,"(3496, 2005)"
V0037124,"(3476, 2176)"
V0037125,"(3485, 2144)"
V0037126,"(3814, 1837)"
V0037127,"(3791, 1847)"
V0037128,"(3898, 1799)"
V0037129,"(3873, 1814)"
V0037130,"(3778, 1889)"
V0037131,"(3861, 1815)"
V0037132,"(3780, 1867)"
V0037133,"(2303, 3036)"
V0037134,"(2312, 3017)"
V0037135,"(2493, 3073)"
V0037136,"(2327, 3206)"
V0037137EL,"(1573, 1524)"
V0037137ER,"(1488, 1520)"
V0037138,"(2504, 2792)"
V0037139EL,"(1512, 1451)"
V0037139ER,"(1476, 1493)"
V0037140EL,"(1332, 1701)"
V0037140ER,"(1463, 1679)"
V0037141,"(2325, 3032)"
V0037142EL,"(1362, 1863)"
V0037142ER,"(1559, 1946)"
V0037143,"(3063, 2391)"
V0037144,"(2336, 3003)"
V0037145,"(2449, 3110)"
V0037146,"(2302, 3035)"
V0037147,"(3992, 1753)"
V0037148,"(3720, 1876)"
V0037149,"(3779, 1849)"
V0037150,"(3827, 1829)"
V0037151,"(3826, 1826)"
V0037152,"(3815, 1837)"
V0037153,"(3792, 1847)"
V0037154,"(3779, 1859)"
V0037155,"(2668, 2631)"
V0037156,"(2669, 2630)"
V0037157,"(2704, 2589)"
V0037158,"(2669, 2633)"
V0037159,"(2727, 2567)"
V0037160,"(2658, 2640)"
V0037161,"(2716, 2579)"
V0037162,"(2657, 2645)"
V0037163,"(2750, 2567)"
V0037164,"(2704, 2613)"
V0037165,"(2716, 2579)"
V0037167,"(2693, 2610)"
V0037168,"(2728, 2570)"
V0037169,"(3778, 1862)"
V0037170,"(3803, 1836)"
V0037171,"(3745, 1880)"
V0037172,"(3804, 1844)"
V0037173,"(3827, 1838)"
V0037174,"(3708, 1887)"
V0037175,"(3602, 1943)"
